Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date,Host_Country,Innings_Team1,Innings_Team2
ODI # 1245,Kenya,Zimbabwe,Zimbabwe,83 runs,Nairobi (Gym),18-Oct-97,West Indies,Second,First
ODI # 1246,Kenya,Zimbabwe,Zimbabwe,82 runs,Nairobi (Gym),19-Oct-97,India,First,Second
ODI # 1247,Sri Lanka,West Indies,Sri Lanka,7 wickets,Lahore,1-Nov-97,South Africa,First,Second
ODI # 1248,Pakistan,South Africa,South Africa,9 runs,Lahore,2-Nov-97,West Indies,Second,First
ODI # 1249,South Africa,West Indies,South Africa,5 wickets,Lahore,3-Nov-97,India,First,Second
ODI # 1250,Pakistan,West Indies,Pakistan,8 wickets,Lahore,4-Nov-97,South Africa,First,Second
ODI # 1251,Pakistan,Sri Lanka,Sri Lanka,8 wickets,Lahore,5-Nov-97,West Indies,Second,First
ODI # 1252,South Africa,Sri Lanka,South Africa,66 runs,Lahore,6-Nov-97,India,Second,First
ODI # 1253,South Africa,Sri Lanka,South Africa,4 wickets,Lahore,8-Nov-97,South Africa,Second,First
ODI # 1254,Australia,South Africa,South Africa,67 runs,Sydney,4-Dec-97,West Indies,First,Second
ODI # 1255,New Zealand,South Africa,New Zealand,47 runs,Adelaide,6-Dec-97,India,First,Second
ODI # 1256,Australia,New Zealand,Australia,3 wickets,Adelaide,7-Dec-97,South Africa,First,Second
ODI # 1257,Australia,South Africa,South Africa,45 runs,Melbourne,9-Dec-97,India,First,Second
ODI # 1258,New Zealand,South Africa,South Africa,1 run,Hobart,11-Dec-97,South Africa,Second,First
ODI # 1259,England,India,England,7 runs,Sharjah,11-Dec-97,South Africa,First,Second
ODI # 1260,Pakistan,West Indies,West Indies,43 runs,Sharjah,12-Dec-97,India,First,Second
ODI # 1261,England,West Indies,England,4 wickets,Sharjah,13-Dec-97,South Africa,Second,First
ODI # 1262,India,Pakistan,Pakistan,4 wickets,Sharjah,14-Dec-97,South Africa,Second,First
ODI # 1263,England,Pakistan,England,8 runs,Sharjah,15-Dec-97,U.A.E.,First,Second
ODI # 1264,India,West Indies,West Indies,41 runs,Sharjah,16-Dec-97,U.A.E.,Second,First
ODI # 1265,Australia,New Zealand,Australia,6 wickets,Melbourne,17-Dec-97,South Africa,Second,First
ODI # 1266,England,West Indies,England,3 wickets,Sharjah,19-Dec-97,U.A.E.,First,Second
ODI # 1267,India,Sri Lanka,India,7 wickets,Guwahati,22-Dec-97,U.A.E.,First,Second
ODI # 1268,India,Sri Lanka,no result,,Indore,25-Dec-97,U.A.E.,Second,First
ODI # 1269,India,Sri Lanka,Sri Lanka,5 wickets,Margao,28-Dec-97,U.A.E.,First,Second
ODI # 1270,New Zealand,South Africa,South Africa,2 runs,Brisbane,9-Jan-98,South Africa,Second,First
ODI # 1271,Bangladesh,India,India,4 wickets,Dhaka,10-Jan-98,U.A.E.,First,Second
ODI # 1273,India,Pakistan,India,18 runs,Dhaka,11-Jan-98,,Second,First
ODI # 1272,Australia,South Africa,South Africa,5 wickets,Brisbane,11-Jan-98,India,Second,First
ODI # 1274,Bangladesh,Pakistan,Pakistan,9 wickets,Dhaka,12-Jan-98,India,Second,First
ODI # 1276,India,Pakistan,India,8 wickets,Dhaka,14-Jan-98,England,First,Second
ODI # 1275,Australia,New Zealand,Australia,131 runs,Sydney,14-Jan-98,India,Second,First
ODI # 1277,India,Pakistan,Pakistan,6 wickets,Dhaka,16-Jan-98,England,Second,First
ODI # 1278,New Zealand,South Africa,South Africa,67 runs,Perth,16-Jan-98,England,Second,First
ODI # 1279,India,Pakistan,India,3 wickets,Dhaka,18-Jan-98,India,Second,First
ODI # 1280,Australia,South Africa,South Africa,7 wickets,Perth,18-Jan-98,India,Second,First
ODI # 1281,Australia,New Zealand,New Zealand,4 wickets,Melbourne,21-Jan-98,India,Second,First
ODI # 1282,Sri Lanka,Zimbabwe,Sri Lanka,5 wickets,Colombo (SSC),22-Jan-98,Sri Lanka,First,Second
ODI # 1283,Australia,South Africa,South Africa,6 runs,Melbourne,23-Jan-98,Sri Lanka,Second,First
ODI # 1284,Sri Lanka,Zimbabwe,Sri Lanka,5 wickets,Colombo (RPS),24-Jan-98,Sri Lanka,First,Second
ODI # 1285,Australia,South Africa,Australia,7 wickets,Sydney,26-Jan-98,Sri Lanka,First,Second
ODI # 1286,Sri Lanka,Zimbabwe,Sri Lanka,4 wickets,Colombo (SSC),26-Jan-98,Sri Lanka,Second,First
ODI # 1287,Australia,South Africa,Australia,14 runs,Sydney,27-Jan-98,England,Second,First
ODI # 1288,New Zealand,Zimbabwe,New Zealand,40 runs,Hamilton,4-Feb-98,England,First,Second
ODI # 1289,New Zealand,Zimbabwe,New Zealand,8 wickets,Wellington,6-Feb-98,England,Second,First
ODI # 1290,New Zealand,Australia,Australia,7 wickets,Christchurch,8-Feb-98,England,First,Second
ODI # 1291,New Zealand,Australia,Australia,66 runs,Wellington,10-Feb-98,Canada,Second,First
ODI # 1292,New Zealand,Australia,New Zealand,7 wickets,Napier,12-Feb-98,Canada,Second,First
ODI # 1293,New Zealand,Australia,New Zealand,30 runs,Auckland,14-Feb-98,Canada,Second,First
ODI # 1294,New Zealand,Zimbabwe,Zimbabwe,1 run,Christchurch,4-Mar-98,Canada,Second,First
ODI # 1295,New Zealand,Zimbabwe,New Zealand,9 wickets,Napier,6-Mar-98,Canada,First,Second
ODI # 1296,New Zealand,Zimbabwe,New Zealand,2 runs,Auckland,8-Mar-98,Zimbabwe,First,Second
ODI # 1297,Zimbabwe,Pakistan,Pakistan,4 wickets,Harare,28-Mar-98,Zimbabwe,First,Second
ODI # 1298,Zimbabwe,Pakistan,Pakistan,4 wickets,Harare,29-Mar-98,Zimbabwe,First,Second
ODI # 1299,West Indies,England,England,16 runs,Bridgetown,29-Mar-98,Bangladesh,Second,First
ODI # 1300,India,Australia,India,41 runs,Kochi,1-Apr-98,Bangladesh,First,Second
ODI # 1301,West Indies,England,West Indies,1 wicket,Bridgetown,1-Apr-98,Bangladesh,First,Second
ODI # 1302,Australia,Zimbabwe,Australia,13 runs,Ahmedabad,3-Apr-98,Bangladesh,Second,First
ODI # 1303,South Africa,Pakistan,South Africa,52 runs,Durban,3-Apr-98,Bangladesh,Second,First
ODI # 1304,West Indies,England,West Indies,5 wickets,Kingstown,4-Apr-98,Bangladesh,First,Second
ODI # 1305,India,Zimbabwe,India,13 runs,Vadodara,5-Apr-98,Bangladesh,First,Second
ODI # 1306,South Africa,Sri Lanka,South Africa,57 runs,Johannesburg,5-Apr-98,Bangladesh,Second,First
ODI # 1307,West Indies,England,West Indies,4 wickets,Kingstown,5-Apr-98,Pakistan,Second,First
ODI # 1308,India,Australia,India,6 wickets,Kanpur,7-Apr-98,U.A.E.,Second,First
ODI # 1309,Pakistan,Sri Lanka,Pakistan,4 wickets,Kimberley,7-Apr-98,U.A.E.,First,Second
ODI # 1310,West Indies,England,West Indies,57 runs,Port of Spain,8-Apr-98,Pakistan,First,Second
ODI # 1311,India,Zimbabwe,India,32 runs,Cuttack,9-Apr-98,U.A.E.,Second,First
ODI # 1312,Pakistan,Sri Lanka,Pakistan,110 runs,Paarl,9-Apr-98,U.A.E.,First,Second
ODI # 1313,Australia,Zimbabwe,Australia,16 runs,Delhi,11-Apr-98,Pakistan,First,Second
ODI # 1314,South Africa,Pakistan,South Africa,3 wickets,East London,11-Apr-98,U.A.E.,Second,First
ODI # 1315,South Africa,Sri Lanka,Sri Lanka,6 wickets,Port Elizabeth,13-Apr-98,U.A.E.,Second,First
ODI # 1316,India,Australia,Australia,4 wickets,Delhi,14-Apr-98,U.A.E.,Second,First
ODI # 1317,Pakistan,Sri Lanka,Sri Lanka,115 runs,Benoni,15-Apr-98,Pakistan,Second,First
ODI # 1318,South Africa,Pakistan,South Africa,7 wickets,Centurion,17-Apr-98,Pakistan,First,Second
ODI # 1319,India,New Zealand,India,15 runs,Sharjah,17-Apr-98,Pakistan,First,Second
ODI # 1320,Australia,New Zealand,Australia,6 wickets,Sharjah,18-Apr-98,New Zealand,Second,First
ODI # 1321,South Africa,Sri Lanka,South Africa,5 wickets,Bloemfontein,19-Apr-98,Australia,Second,First
ODI # 1322,Australia,India,Australia,58 runs,Sharjah,19-Apr-98,Australia,Second,First
ODI # 1323,India,New Zealand,New Zealand,4 wickets,Sharjah,20-Apr-98,New Zealand,First,Second
ODI # 1324,Australia,New Zealand,Australia,5 wickets,Sharjah,21-Apr-98,Australia,Second,First
ODI # 1325,Australia,India,Australia,26 runs,Sharjah,22-Apr-98,Australia,Second,First
ODI # 1326,South Africa,Pakistan,South Africa,9 wickets,Cape Town,23-Apr-98,New Zealand,First,Second
ODI # 1327,Australia,India,India,6 wickets,Sharjah,24-Apr-98,Australia,Second,First
ODI # 1328,India,Bangladesh,India,5 wickets,Mohali,14-May-98,New Zealand,First,Second
ODI # 1329,Bangladesh,Kenya,Bangladesh,6 wickets,Hyderabad (Deccan),17-May-98,Australia,Second,First
ODI # 1330,India,Kenya,India,4 wickets,Bengaluru,20-May-98,Australia,First,Second
ODI # 1331,England,South Africa,South Africa,3 wickets,The Oval,21-May-98,South Africa,Second,First
ODI # 1333,Bangladesh,Kenya,Kenya,28 runs,Chennai,23-May-98,Australia,First,Second
ODI # 1332,England,South Africa,South Africa,32 runs,Manchester,23-May-98,Australia,First,Second
ODI # 1334,England,South Africa,England,7 wickets,Leeds,24-May-98,South Africa,Second,First
ODI # 1335,India,Bangladesh,India,5 wickets,Mumbai,25-May-98,Australia,First,Second
ODI # 1336,India,Kenya,Kenya,69 runs,Gwalior,28-May-98,South Africa,First,Second
ODI # 1337,India,Kenya,India,9 wickets,Kolkata,31-May-98,Australia,First,Second
ODI # 1338,Sri Lanka,India,India,8 wickets,Colombo (RPS),19-Jun-98,South Africa,First,Second
ODI # 1339,Sri Lanka,New Zealand,Sri Lanka,7 wickets,Colombo (RPS),21-Jun-98,Australia,First,Second
ODI # 1340,India,New Zealand,no result,,Colombo (RPS),23-Jun-98,South Africa,First,Second
ODI # 1341,Sri Lanka,India,Sri Lanka,8 runs,Colombo (SSC),1-Jul-98,Australia,Second,First
ODI # 1342,India,New Zealand,no result,,Colombo (SSC),3-Jul-98,Australia,Second,First
ODI # 1343,Sri Lanka,New Zealand,Sri Lanka,87 runs,Colombo (SSC),5-Jul-98,South Africa,First,Second
ODI # 1344,Sri Lanka,India,India,6 runs,Colombo (RPS),7-Jul-98,Australia,First,Second
ODI # 1345,South Africa,Sri Lanka,Sri Lanka,57 runs,Nottingham,14-Aug-98,South Africa,First,Second
ODI # 1346,England,Sri Lanka,England,36 runs,Lord's,16-Aug-98,Australia,First,Second
ODI # 1347,England,South Africa,South Africa,14 runs,Birmingham,18-Aug-98,Australia,First,Second
ODI # 1348,England,Sri Lanka,Sri Lanka,5 wickets,Lord's,20-Aug-98,New Zealand,Second,First
ODI # 1349,India,Pakistan,India,6 wickets,Toronto,12-Sep-98,New Zealand,First,Second
ODI # 1350,India,Pakistan,Pakistan,51 runs,Toronto,13-Sep-98,New Zealand,Second,First
ODI # 1351,India,Pakistan,Pakistan,77 runs,Toronto,16-Sep-98,Bangladesh,Second,First
ODI # 1352,India,Pakistan,Pakistan,134 runs,Toronto,19-Sep-98,India,First,Second
ODI # 1353,India,Pakistan,Pakistan,5 wickets,Toronto,20-Sep-98,Bangladesh,Second,First
ODI # 1354,Zimbabwe,India,India,8 wickets,Bulawayo,26-Sep-98,Bangladesh,First,Second
ODI # 1355,Zimbabwe,India,India,8 wickets,Bulawayo,27-Sep-98,Bangladesh,Second,First
ODI # 1356,Zimbabwe,India,Zimbabwe,37 runs,Harare,30-Sep-98,India,First,Second
ODI # 1357,New Zealand,Zimbabwe,New Zealand,5 wickets,Dhaka,24-Oct-98,Bangladesh,Second,First
ODI # 1358,England,South Africa,South Africa,6 wickets,Dhaka,25-Oct-98,India,Second,First
ODI # 1359,New Zealand,Sri Lanka,Sri Lanka,5 wickets,Dhaka,26-Oct-98,Bangladesh,Second,First
ODI # 1360,Australia,India,India,44 runs,Dhaka,28-Oct-98,Bangladesh,First,Second
ODI # 1361,Pakistan,West Indies,West Indies,30 runs,Dhaka,29-Oct-98,New Zealand,First,Second
ODI # 1362,South Africa,Sri Lanka,South Africa,92 runs,Dhaka,30-Oct-98,New Zealand,Second,First
ODI # 1363,India,West Indies,West Indies,6 wickets,Dhaka,31-Oct-98,India,Second,First
ODI # 1364,South Africa,West Indies,South Africa,4 wickets,Dhaka,1-Nov-98,Bangladesh,Second,First
ODI # 1365,Pakistan,Australia,Australia,86 runs,Karachi,6-Nov-98,India,First,Second
ODI # 1366,India,Sri Lanka,India,3 wickets,Sharjah,6-Nov-98,,First,Second
ODI # 1367,Sri Lanka,Zimbabwe,Zimbabwe,7 wickets,Sharjah,7-Nov-98,India,Second,First
ODI # 1368,Pakistan,Australia,Australia,5 wickets,Peshawar,8-Nov-98,U.A.E.,Second,First
ODI # 1369,India,Zimbabwe,India,7 wickets,Sharjah,8-Nov-98,U.A.E.,Second,First
ODI # 1370,India,Sri Lanka,India,81 runs,Sharjah,9-Nov-98,U.A.E.,Second,First
ODI # 1371,Pakistan,Australia,Australia,6 wickets,Lahore,10-Nov-98,U.A.E.,Second,First
ODI # 1372,Sri Lanka,Zimbabwe,Zimbabwe,24 runs,Sharjah,10-Nov-98,West Indies,First,Second
ODI # 1373,India,Zimbabwe,Zimbabwe,13 runs,Sharjah,11-Nov-98,U.A.E.,First,Second
ODI # 1374,India,Zimbabwe,India,10 wickets,Sharjah,13-Nov-98,U.A.E.,Second,First
ODI # 1375,Pakistan,Zimbabwe,Pakistan,4 wickets,Gujranwala,20-Nov-98,West Indies,Second,First
ODI # 1376,Pakistan,Zimbabwe,Zimbabwe,6 wickets,Sheikhupura,22-Nov-98,U.A.E.,First,Second
ODI # 1377,Pakistan,Zimbabwe,Pakistan,111 runs,Rawalpindi,24-Nov-98,West Indies,Second,First
ODI # 1378,New Zealand,India,New Zealand,5 wickets,Taupo,9-Jan-99,West Indies,Second,First
ODI # 1379,Australia,England,England,7 runs,Brisbane,10-Jan-99,West Indies,First,Second
ODI # 1380,England,Sri Lanka,England,4 wickets,Brisbane,11-Jan-99,West Indies,Second,First
ODI # 1381,New Zealand,India,India,2 wickets,Napier,12-Jan-99,England,Second,First
ODI # 1382,Australia,Sri Lanka,Australia,8 wickets,Sydney,13-Jan-99,,First,Second
ODI # 1383,New Zealand,India,no result,,Wellington,14-Jan-99,England,First,Second
ODI # 1384,Australia,England,Australia,9 wickets,Melbourne,15-Jan-99,England,Second,First
ODI # 1385,New Zealand,India,India,5 wickets,Auckland,16-Jan-99,England,First,Second
ODI # 1386,Australia,England,England,7 runs,Sydney,17-Jan-99,England,First,Second
ODI # 1387,New Zealand,India,New Zealand,70 runs,Christchurch,19-Jan-99,England,Second,First
ODI # 1388,England,Sri Lanka,England,7 wickets,Melbourne,19-Jan-99,England,Second,First
ODI # 1389,Australia,Sri Lanka,Sri Lanka,3 wickets,Hobart,21-Jan-99,England,First,Second
ODI # 1390,South Africa,West Indies,South Africa,2 wickets,Johannesburg,22-Jan-99,England,First,Second
ODI # 1391,England,Sri Lanka,Sri Lanka,1 wicket,Adelaide,23-Jan-99,England,First,Second
ODI # 1392,Australia,Sri Lanka,Australia,80 runs,Adelaide,24-Jan-99,Ireland,First,Second
ODI # 1393,South Africa,West Indies,West Indies,43 runs,East London,24-Jan-99,England,Second,First
ODI # 1394,Australia,England,Australia,16 runs,Adelaide,26-Jan-99,England,Second,First
ODI # 1395,South Africa,West Indies,South Africa,55 runs,Durban,27-Jan-99,England,First,Second
ODI # 1396,England,Sri Lanka,England,128 runs,Perth,29-Jan-99,England,Second,First
ODI # 1397,South Africa,West Indies,South Africa,99 runs,Port Elizabeth,30-Jan-99,Scotland,Second,First
ODI # 1398,Australia,Sri Lanka,Australia,45 runs,Perth,31-Jan-99,England,First,Second
ODI # 1399,South Africa,West Indies,South Africa,89 runs,Cape Town,2-Feb-99,England,Second,First
ODI # 1400,England,Sri Lanka,Sri Lanka,11 runs,Sydney,3-Feb-99,Netherlands,First,Second
ODI # 1401,Australia,England,Australia,4 wickets,Sydney,5-Feb-99,England,First,Second
ODI # 1402,South Africa,West Indies,South Africa,114 runs,Bloemfontein,5-Feb-99,England,Second,First
ODI # 1403,Australia,Sri Lanka,Australia,43 runs,Melbourne,7-Feb-99,England,First,Second
ODI # 1404,South Africa,West Indies,South Africa,50 runs,Centurion,7-Feb-99,England,Second,First
ODI # 1405,Australia,England,Australia,10 runs,Sydney,10-Feb-99,England,Second,First
ODI # 1406,Australia,England,Australia,162 runs,Melbourne,13-Feb-99,England,Second,First
ODI # 1407,New Zealand,South Africa,New Zealand,3 wickets,Dunedin,14-Feb-99,England,Second,First
ODI # 1408,New Zealand,South Africa,South Africa,7 wickets,Christchurch,17-Feb-99,England,Second,First
ODI # 1409,New Zealand,South Africa,New Zealand,7 wickets,Auckland,20-Feb-99,England,First,Second
ODI # 1410,Bangladesh,Pakistan,Pakistan,152 runs,Dhaka,16-Mar-99,Scotland,First,Second
ODI # 1411,Pakistan,Sri Lanka,Pakistan,9 runs,Jamshedpur,19-Mar-99,England,First,Second
ODI # 1412,Kenya,Zimbabwe,Zimbabwe,133 runs,Dhaka,19-Mar-99,England,First,Second
ODI # 1413,Bangladesh,Kenya,Kenya,8 wickets,Dhaka,20-Mar-99,England,First,Second
ODI # 1414,Bangladesh,Zimbabwe,Zimbabwe,126 runs,Dhaka,21-Mar-99,England,First,Second
ODI # 1415,India,Sri Lanka,India,80 runs,Nagpur,22-Mar-99,England,Second,First
ODI # 1416,Kenya,Zimbabwe,Zimbabwe,64 runs,Dhaka,23-Mar-99,England,First,Second
ODI # 1417,India,Pakistan,Pakistan,143 runs,Jaipur,24-Mar-99,England,First,Second
ODI # 1418,Bangladesh,Kenya,Kenya,73 runs,Dhaka,24-Mar-99,England,Second,First
ODI # 1419,New Zealand,South Africa,no result,,Napier,25-Mar-99,England,First,Second
ODI # 1420,Bangladesh,Zimbabwe,Zimbabwe,3 wickets,Dhaka,25-Mar-99,England,Second,First
ODI # 1421,New Zealand,South Africa,South Africa,2 wickets,Napier,26-Mar-99,Sri Lanka,Second,First
ODI # 1422,New Zealand,South Africa,South Africa,143 runs,Auckland,27-Mar-99,Sri Lanka,Second,First
ODI # 1423,Pakistan,Sri Lanka,Sri Lanka,12 runs,Visakhapatnam,27-Mar-99,Sri Lanka,Second,First
ODI # 1424,Kenya,Zimbabwe,Zimbabwe,202 runs,Dhaka,27-Mar-99,Sri Lanka,Second,First
ODI # 1425,New Zealand,South Africa,no result,,Wellington,30-Mar-99,Sri Lanka,First,Second
ODI # 1426,India,Sri Lanka,India,51 runs,Pune,30-Mar-99,Sri Lanka,Second,First
ODI # 1427,India,Pakistan,Pakistan,7 wickets,Mohali,1-Apr-99,Sri Lanka,Second,First
ODI # 1428,India,Pakistan,Pakistan,123 runs,Bengaluru,4-Apr-99,,Second,First
ODI # 1429,England,Pakistan,Pakistan,90 runs,Sharjah,7-Apr-99,,First,Second
ODI # 1430,India,Pakistan,Pakistan,116 runs,Sharjah,8-Apr-99,,Second,First
ODI # 1431,England,India,India,20 runs,Sharjah,9-Apr-99,,First,Second
ODI # 1432,England,India,India,9 runs,Sharjah,11-Apr-99,Canada,Second,First
ODI # 1433,West Indies,Australia,West Indies,44 runs,Kingstown,11-Apr-99,Canada,Second,First
ODI # 1434,England,Pakistan,England,62 runs,Sharjah,12-Apr-99,Canada,First,Second
ODI # 1435,India,Pakistan,India,6 wickets,Sharjah,13-Apr-99,Canada,First,Second
ODI # 1436,West Indies,Australia,Australia,46 runs,St George's,14-Apr-99,Canada,First,Second
ODI # 1437,India,Pakistan,Pakistan,8 wickets,Sharjah,16-Apr-99,Canada,Second,First
ODI # 1438,West Indies,Australia,West Indies,5 wickets,Port of Spain,17-Apr-99,Kenya,First,Second
ODI # 1439,West Indies,Australia,Australia,20 runs,Port of Spain,18-Apr-99,Kenya,Second,First
ODI # 1440,West Indies,Australia,tied,,Georgetown,21-Apr-99,Kenya,Second,First
ODI # 1441,West Indies,Australia,Australia,4 wickets,Bridgetown,24-Apr-99,Kenya,Second,First
ODI # 1442,West Indies,Australia,West Indies,8 wickets,Bridgetown,25-Apr-99,Kenya,Second,First
ODI # 1443,England,Sri Lanka,England,8 wickets,Lord's,14-May-99,Kenya,First,Second
ODI # 1444,India,South Africa,South Africa,4 wickets,Hove,15-May-99,Kenya,Second,First
ODI # 1445,Kenya,Zimbabwe,Zimbabwe,5 wickets,Taunton,15-May-99,Bangladesh,Second,First
ODI # 1446,Australia,Scotland,Australia,6 wickets,Worcester,16-May-99,Bangladesh,Second,First
ODI # 1447,Pakistan,West Indies,Pakistan,27 runs,Bristol,16-May-99,U.A.E.,First,Second
ODI # 1448,Bangladesh,New Zealand,New Zealand,6 wickets,Chelmsford,17-May-99,U.A.E.,First,Second
ODI # 1449,England,Kenya,England,9 wickets,Canterbury,18-May-99,U.A.E.,Second,First
ODI # 1450,India,Zimbabwe,Zimbabwe,3 runs,Leicester,19-May-99,U.A.E.,First,Second
ODI # 1451,South Africa,Sri Lanka,South Africa,89 runs,Northampton,19-May-99,U.A.E.,First,Second
ODI # 1452,Australia,New Zealand,New Zealand,5 wickets,Cardiff,20-May-99,Zimbabwe,Second,First
ODI # 1453,Pakistan,Scotland,Pakistan,94 runs,Chester-le-Street,20-May-99,U.A.E.,First,Second
ODI # 1454,Bangladesh,West Indies,West Indies,7 wickets,Dublin,21-May-99,Zimbabwe,First,Second
ODI # 1455,England,South Africa,South Africa,122 runs,The Oval,22-May-99,Zimbabwe,First,Second
ODI # 1456,Sri Lanka,Zimbabwe,Sri Lanka,4 wickets,Worcester,22-May-99,India,Second,First
ODI # 1457,India,Kenya,India,94 runs,Bristol,23-May-99,India,First,Second
ODI # 1458,Australia,Pakistan,Pakistan,10 runs,Leeds,23-May-99,India,First,Second
ODI # 1459,Scotland,Bangladesh,Bangladesh,22 runs,Edinburgh,24-May-99,India,Second,First
ODI # 1460,New Zealand,West Indies,West Indies,7 wickets,Southampton,24-May-99,India,Second,First
ODI # 1461,England,Zimbabwe,England,7 wickets,Nottingham,25-May-99,Zimbabwe,Second,First
ODI # 1462,Kenya,South Africa,South Africa,7 wickets,Amstelveen,26-May-99,Zimbabwe,Second,First
ODI # 1463,India,Sri Lanka,India,157 runs,Taunton,26-May-99,Zimbabwe,First,Second
ODI # 1464,Australia,Bangladesh,Australia,7 wickets,Chester-le-Street,27-May-99,Zimbabwe,Second,First
ODI # 1465,Scotland,West Indies,West Indies,8 wickets,Leicester,27-May-99,New Zealand,Second,First
ODI # 1466,New Zealand,Pakistan,Pakistan,62 runs,Derby,28-May-99,New Zealand,Second,First
ODI # 1467,England,India,India,63 runs,Birmingham,"May 29-30, 1999",New Zealand,Second,First
ODI # 1468,South Africa,Zimbabwe,Zimbabwe,48 runs,Chelmsford,29-May-99,New Zealand,Second,First
ODI # 1469,Kenya,Sri Lanka,Sri Lanka,45 runs,Southampton,30-May-99,Australia,Second,First
ODI # 1470,Australia,West Indies,Australia,6 wickets,Manchester,30-May-99,Australia,First,Second
ODI # 1471,Bangladesh,Pakistan,Bangladesh,62 runs,Northampton,31-May-99,New Zealand,First,Second
ODI # 1472,Scotland,New Zealand,New Zealand,6 wickets,Edinburgh,31-May-99,Australia,First,Second
ODI # 1473,Australia,India,Australia,77 runs,The Oval,4-Jun-99,Australia,Second,First
ODI # 1474,Pakistan,South Africa,South Africa,3 wickets,Nottingham,5-Jun-99,Australia,Second,First
ODI # 1475,New Zealand,Zimbabwe,no result,,Leeds,"Jun 6-7, 1999",Australia,First,Second
ODI # 1476,India,Pakistan,India,47 runs,Manchester,8-Jun-99,Australia,Second,First
ODI # 1477,Australia,Zimbabwe,Australia,44 runs,Lord's,9-Jun-99,South Africa,Second,First
ODI # 1478,New Zealand,South Africa,South Africa,74 runs,Birmingham,10-Jun-99,Australia,First,Second
ODI # 1479,Pakistan,Zimbabwe,Pakistan,148 runs,The Oval,11-Jun-99,South Africa,First,Second
ODI # 1480,India,New Zealand,New Zealand,5 wickets,Nottingham,12-Jun-99,Australia,First,Second
ODI # 1481,Australia,South Africa,Australia,5 wickets,Leeds,13-Jun-99,Australia,First,Second
ODI # 1482,New Zealand,Pakistan,Pakistan,9 wickets,Manchester,16-Jun-99,South Africa,First,Second
ODI # 1483,Australia,South Africa,tied,,Birmingham,17-Jun-99,Australia,Second,First
ODI # 1484,Australia,Pakistan,Australia,8 wickets,Lord's,20-Jun-99,South Africa,Second,First
ODI # 1485,Sri Lanka,Australia,Australia,50 runs,Galle,22-Aug-99,Australia,Second,First
ODI # 1486,Australia,India,Australia,8 wickets,Galle,23-Aug-99,South Africa,Second,First
ODI # 1487,Sri Lanka,India,Sri Lanka,7 wickets,Colombo (RPS),25-Aug-99,Australia,Second,First
ODI # 1488,Sri Lanka,Australia,Australia,27 runs,Colombo (RPS),26-Aug-99,South Africa,First,Second
ODI # 1489,Australia,India,Australia,41 runs,Colombo (SSC),28-Aug-99,Australia,First,Second
ODI # 1490,Sri Lanka,India,India,23 runs,Colombo (SSC),29-Aug-99,South Africa,Second,First
ODI # 1491,Sri Lanka,Australia,Sri Lanka,8 wickets,Colombo (RPS),31-Aug-99,South Africa,First,Second
ODI # 1492,West Indies,Zimbabwe,West Indies,6 wickets,Singapore,2-Sep-99,Pakistan,Second,First
ODI # 1493,India,Zimbabwe,India,115 runs,Singapore,4-Sep-99,South Africa,First,Second
ODI # 1494,India,West Indies,West Indies,42 runs,Singapore,5-Sep-99,Pakistan,Second,First
ODI # 1495,India,West Indies,no result,,Singapore,7-Sep-99,Zimbabwe,First,Second
ODI # 1496,India,West Indies,West Indies,4 wickets,Singapore,8-Sep-99,Zimbabwe,First,Second
ODI # 1497,India,West Indies,India,8 wickets,Toronto,11-Sep-99,New Zealand,First,Second
ODI # 1498,India,West Indies,West Indies,70 runs,Toronto,12-Sep-99,Pakistan,Second,First
ODI # 1499,India,West Indies,India,88 runs,Toronto,14-Sep-99,Zimbabwe,Second,First
ODI # 1500,Pakistan,West Indies,Pakistan,15 runs,Toronto,16-Sep-99,New Zealand,Second,First
ODI # 1501,Pakistan,West Indies,Pakistan,42 runs,Toronto,18-Sep-99,New Zealand,Second,First
ODI # 1502,Pakistan,West Indies,Pakistan,7 wickets,Toronto,19-Sep-99,New Zealand,First,Second
ODI # 1503,Kenya,Zimbabwe,Zimbabwe,3 wickets,Nairobi (Gym),25-Sep-99,New Zealand,Second,First
ODI # 1504,India,South Africa,India,8 wickets,Nairobi (Gym),26-Sep-99,India,Second,First
ODI # 1505,South Africa,Zimbabwe,South Africa,9 wickets,Nairobi (Gym),28-Sep-99,India,Second,First
ODI # 1506,Kenya,India,India,58 runs,Nairobi (Gym),29-Sep-99,India,First,Second
ODI # 1507,Kenya,South Africa,South Africa,24 runs,Nairobi (Gym),30-Sep-99,India,Second,First
ODI # 1508,India,Zimbabwe,India,107 runs,Nairobi (Gym),1-Oct-99,India,Second,First
ODI # 1509,India,South Africa,South Africa,26 runs,Nairobi (Gym),3-Oct-99,U.A.E.,First,Second
ODI # 1510,Bangladesh,West Indies,West Indies,73 runs,Dhaka,8-Oct-99,U.A.E.,Second,First
ODI # 1511,Bangladesh,West Indies,West Indies,109 runs,Dhaka,9-Oct-99,U.A.E.,First,Second
ODI # 1512,Sri Lanka,West Indies,West Indies,3 wickets,Sharjah,13-Oct-99,U.A.E.,Second,First
ODI # 1513,Pakistan,West Indies,Pakistan,130 runs,Sharjah,14-Oct-99,U.A.E.,First,Second
ODI # 1514,Pakistan,Sri Lanka,tied,,Sharjah,15-Oct-99,U.A.E.,First,Second
